comment,user_id,user_name,user_level,user_verify
回复 @吃花椒的喵酱 :灵魂表情冰冰居然知道耶！[doge][doge][doge][doge][doge][妙啊][妙啊][妙啊][妙啊][妙啊],60590385,地表最强小公举吹,5,-1
回复 @吃花椒的喵酱 :嘿，老婆,439362072,樂琞,4,-1
捞一下叔,107823722,昔年欢,5,-1
你这个太牛逼了，我每刷新一下评论，就TM多十多个赞[妙啊],383379896,罗伯特Z_,4,-1
[辣眼睛][辣眼睛][辣眼睛],123885437,拔萝卜喂,3,-1
回复 @吃花椒的喵酱 :很高兴认识你，冰冰，[微笑],67194734,三玖阳菜天下第一,5,-1
[呆]我的心是饼饼的,149036505,红浪漫6号技师,5,-1
看来大家都住在b站,22956180,So日和,5,-1
我的心是饼饼的[呆][呆][呆][呆],31871477,想来想去名字还是短点好,5,-1
叔！！,179033536,四四侑侑,5,-1
[呆][呆][呆]冰冰粉丝数很快就会超过饼饼。,482411213,爱吃胖头鱼的冰冰,4,-1
回复 @吃花椒的喵酱 :冰冰，加油哦，新的一年一起努力工作哦[吃瓜],76857764,忠诚loyal,5,-1
嘿饼叔,361033321,戯言クライン,4,-1
饼叔快更新啊！,79002377,满天星大海,5,-1
回复 @堃堃小熊 :[呆][呆][呆][呆][呆][呆][呆][呆][呆][呆][呆][呆][呆][呆][呆][呆][呆][呆][呆][呆],60590385,地表最强小公举吹,5,-1
回复 @吃花椒的喵酱 :嘿，冰冰,7288276,我的半岛铁盒在哪里,5,-1
好家伙，一刷十几二十个赞哈哈哈哈,15707360,Creatinekinase,5,-1
[囧]饼叔你来了,108131878,鄙人姓王名XX,4,-1
回复 @吃花椒的喵酱 :冬天了，我的心也是冰冰的,272262770,the_ding,4,-1
好形象[呆][呆][呆],85594891,力元君,5,-1
冰冰要多吃火锅！ 叔你得安排！,172112,玉sama,6,-1
回复 @吃花椒的喵酱 :3分钟前[OK][OK],454172929,我不知道该取个啥名好,4,-1
饼饼 妈妈爱你,265528423,犬来慌得一批,5,-1
饼叔，冰冰说要多吃几顿火锅(明示）,57867646,CharlesLeclerc_,5,-1
有人要失业了[偷笑][偷笑][偷笑],11843569,lafaye,5,-1
饼叔，建议加大力度[OK][OK][OK],3180474,大大大大熊猫丶,6,-1
冰冰就回饼叔一个人，嫉妒不？,386698555,古月伯虎,4,-1
饼饼把冰冰带上了一条不归的路,72469866,我想我是真的爱上你,5,-1
我的心是饼饼的（虽然订阅都没点[doge]）,283217225,偏执的亡灵,5,-1
你这嘴唇什么意思,372268758,hey-newboy,4,-1
[呆][呆]嘿,366024617,取名字好难呀啊嗯,3,-1
回复 @吃花椒的喵酱 :哇！2020心好凉，抱一抱冰冰[调皮],29537016,四度de水,5,-1
回复 @吃花椒的喵酱 :[打call],339978061,志二,4,-1
[呆][呆][呆],346441207,MaytionZ,5,-1
饼饼来找冰冰啦[狗子][狗子],100384383,是泠希,5,-1
回复 @吃花椒的喵酱 :大师球,196105859,残年丶style,4,-1
饼叔来了[呆],3724519,冰の菓,5,-1
[呆][呆][呆],17374442,金木-_-_-小天使,5,-1
[呆][呆][呆],34535236,青青的李子,5,-1
上去,629371350,流星7号,3,-1
我的心是饼饼的[doge][doge],249783353,恰花椒的喵酱,5,-1
没有人的心是饼饼的[偷笑][偷笑],165466136,北林啊123,4,-1
叔来了啊[doge],32497907,不能打的蚊子,5,-1
哈哈哈哈哈哈,253718309,梦灬欣蕊,5,-1
她关注你了，她关注你了！快让他看到！！,628638656,暮雨子甜,4,-1
是你。,25814231,Sengernam_腰子,5,-1
饼叔[呆][呆][呆],507199709,---吃花椒的喵酱--,3,-1
回复 @地表最强小公举吹 :不能恰烂钱呀[doge],35265414,别看我只是一只羊7,5,-1
我也来了嘿！,580086174,五环观察室,6,0
回复 @吃花椒的喵酱 :快抱住冰冰[doge],201803678,梦如Anngel,5,-1
回复 @無口的白 :这表情是饼叔的梗[妙啊],355257665,碧落初霁,5,-1
[doge][doge][doge]你又来了,430590539,千万别说话mesh,4,-1
[呆][呆][呆],9588548,Skyrimcavalier-,6,-1
饼叔叔，马上b站冰冰化了,372835756,圆滚滚的小肚纸,4,-1
@毕导,356169071,言兮亦,4,-1
感谢饼叔把冰冰拉过来[doge],111917904,吃阿鲁高的喵酱,4,-1
这能不能打破2020最快涨粉记录呢[doge][doge],114105950,榛子不是栗子,5,-1
饼叔!!我的心是饼饼的。,481094934,不上569斤不减肥,3,-1
[呆][呆][呆],9179112,SilverMoonFL,5,-1
回复 @地表最强小公举吹 :在？群号？[doge],176413843,Milktea_QwQ,6,-1
终于她来了,394844048,CREEDW,4,-1
回复 @吃花椒的喵酱 :冰冰女神我来了[喜欢],154096044,小可灰o,4,-1
饼叔来得早啊[呆],35856414,冬怜Official,5,-1
一刷十个赞，真有意思[OK],288879617,小潘的潘潘,5,-1
饼叔要吃醋了，我记得食贫道最开始的时候粉丝涨得好慢，团队还要全世界各地去拍摄。人冰冰二十分钟就几万粉丝了，饼叔气不气,246244774,N丶Lei,5,-1
你俩的合作视频什么时候更啊？[吃瓜],376148373,辰巽龙,4,-1
回复 @吃花椒的喵酱 :嘿   姐妹[doge],2010929839,冰洋酱,2,-1
一刷一打赞真好玩[抠鼻],344410766,初音未来_cryptun,5,-1
捞叔!![呆][呆][呆][呆][呆][呆],15097299,撒哈拉摸鱼,5,-1
我的身体都是饼饼的,630084846,rrdhjn,4,-1
来了[滑稽][滑稽][滑稽],620784389,喵酱的冰冰手册,3,-1
冰冰觉得很淦～,432379296,Alvin_Dragon,5,-1
